S.No,data,type,sensedAt,id_sensor
251,29,temp,2025-06-17T09:22:25,66ce60b3fb392de5096acc24
252,51,humidity,2025-06-17T09:22:25,66ce60b3fb392de5096acc24
253,200,co2-concentration,2025-06-17T09:25:29,66ce60b3fb392de5096acc24
254,29,temp,2025-06-17T09:25:29,66ce60b3fb392de5096acc24
255,51,humidity,2025-06-17T09:25:29,66ce60b3fb392de5096acc24
256,200,co2-concentration,2025-06-17T09:28:32,66ce60b3fb392de5096acc24
257,29,temp,2025-06-17T09:28:32,66ce60b3fb392de5096acc24
258,51,humidity,2025-06-17T09:28:32,66ce60b3fb392de5096acc24
259,200,co2-concentration,2025-06-17T09:31:36,66ce60b3fb392de5096acc24
260,29,temp,2025-06-17T09:31:36,66ce60b3fb392de5096acc24
261,51,humidity,2025-06-17T09:31:36,66ce60b3fb392de5096acc24
262,200,co2-concentration,2025-06-17T09:34:39,66ce60b3fb392de5096acc24
263,29,temp,2025-06-17T09:34:39,66ce60b3fb392de5096acc24
264,51,humidity,2025-06-17T09:34:39,66ce60b3fb392de5096acc24
265,200,co2-concentration,2025-06-17T09:34:44,66ce60b3fb392de5096acc24
266,29,temp,2025-06-17T09:34:44,66ce60b3fb392de5096acc24
267,51,humidity,2025-06-17T09:34:44,66ce60b3fb392de5096acc24
268,200,co2-concentration,2025-06-17T09:37:47,66ce60b3fb392de5096acc24
269,29,temp,2025-06-17T09:37:47,66ce60b3fb392de5096acc24
270,51,humidity,2025-06-17T09:37:47,66ce60b3fb392de5096acc24
271,200,co2-concentration,2025-06-17T09:40:49,66ce60b3fb392de5096acc24
272,29,temp,2025-06-17T09:40:49,66ce60b3fb392de5096acc24
273,51,humidity,2025-06-17T09:40:49,66ce60b3fb392de5096acc24
274,200,co2-concentration,2025-06-17T09:43:52,66ce60b3fb392de5096acc24
275,29,temp,2025-06-17T09:43:52,66ce60b3fb392de5096acc24
276,51,humidity,2025-06-17T09:43:52,66ce60b3fb392de5096acc24
277,200,co2-concentration,2025-06-17T09:46:55,66ce60b3fb392de5096acc24
278,29,temp,2025-06-17T09:46:55,66ce60b3fb392de5096acc24
279,51,humidity,2025-06-17T09:46:55,66ce60b3fb392de5096acc24
280,200,co2-concentration,2025-06-17T09:49:57,66ce60b3fb392de5096acc24
281,29,temp,2025-06-17T09:49:57,66ce60b3fb392de5096acc24
282,51,humidity,2025-06-17T09:49:57,66ce60b3fb392de5096acc24
283,200,co2-concentration,2025-06-17T09:53:00,66ce60b3fb392de5096acc24
284,29,temp,2025-06-17T09:53:00,66ce60b3fb392de5096acc24
285,51,humidity,2025-06-17T09:53:00,66ce60b3fb392de5096acc24
286,200,co2-concentration,2025-06-17T09:56:03,66ce60b3fb392de5096acc24
287,29,temp,2025-06-17T09:56:03,66ce60b3fb392de5096acc24
288,51,humidity,2025-06-17T09:56:03,66ce60b3fb392de5096acc24
289,200,co2-concentration,2025-06-17T09:59:05,66ce60b3fb392de5096acc24
290,29,temp,2025-06-17T09:59:05,66ce60b3fb392de5096acc24
291,51,humidity,2025-06-17T09:59:05,66ce60b3fb392de5096acc24
292,200,co2-concentration,2025-06-17T10:02:17,66ce60b3fb392de5096acc24
293,29,temp,2025-06-17T10:02:17,66ce60b3fb392de5096acc24
294,51,humidity,2025-06-17T10:02:17,66ce60b3fb392de5096acc24
295,200,co2-concentration,2025-06-17T10:05:19,66ce60b3fb392de5096acc24
296,29,temp,2025-06-17T10:05:19,66ce60b3fb392de5096acc24
297,51,humidity,2025-06-17T10:05:19,66ce60b3fb392de5096acc24
298,200,co2-concentration,2025-06-17T10:08:22,66ce60b3fb392de5096acc24
299,29,temp,2025-06-17T10:08:22,66ce60b3fb392de5096acc24
300,51,humidity,2025-06-17T10:08:22,66ce60b3fb392de5096acc24
301,200,co2-concentration,2025-06-17T10:11:30,66ce60b3fb392de5096acc24
302,29,temp,2025-06-17T10:11:30,66ce60b3fb392de5096acc24
303,51,humidity,2025-06-17T10:11:30,66ce60b3fb392de5096acc24
304,200,co2-concentration,2025-06-17T10:14:33,66ce60b3fb392de5096acc24
305,29,temp,2025-06-17T10:14:33,66ce60b3fb392de5096acc24
306,51,humidity,2025-06-17T10:14:33,66ce60b3fb392de5096acc24
307,200,co2-concentration,2025-06-17T10:17:35,66ce60b3fb392de5096acc24
308,29,temp,2025-06-17T10:17:35,66ce60b3fb392de5096acc24
309,51,humidity,2025-06-17T10:17:35,66ce60b3fb392de5096acc24
310,200,co2-concentration,2025-06-17T10:20:38,66ce60b3fb392de5096acc24
311,29,temp,2025-06-17T10:20:38,66ce60b3fb392de5096acc24
312,51,humidity,2025-06-17T10:20:38,66ce60b3fb392de5096acc24
313,200,co2-concentration,2025-06-17T10:23:41,66ce60b3fb392de5096acc24
314,29,temp,2025-06-17T10:23:41,66ce60b3fb392de5096acc24
315,51,humidity,2025-06-17T10:23:41,66ce60b3fb392de5096acc24
316,200,co2-concentration,2025-06-17T10:26:43,66ce60b3fb392de5096acc24
317,29,temp,2025-06-17T10:26:43,66ce60b3fb392de5096acc24
318,51,humidity,2025-06-17T10:26:43,66ce60b3fb392de5096acc24
319,200,co2-concentration,2025-06-17T10:29:46,66ce60b3fb392de5096acc24
320,29,temp,2025-06-17T10:29:46,66ce60b3fb392de5096acc24
321,51,humidity,2025-06-17T10:29:46,66ce60b3fb392de5096acc24
322,200,co2-concentration,2025-06-17T10:32:49,66ce60b3fb392de5096acc24
323,29,temp,2025-06-17T10:32:49,66ce60b3fb392de5096acc24
324,51,humidity,2025-06-17T10:32:49,66ce60b3fb392de5096acc24
325,200,co2-concentration,2025-06-17T10:35:52,66ce60b3fb392de5096acc24
326,29,temp,2025-06-17T10:35:52,66ce60b3fb392de5096acc24
327,51,humidity,2025-06-17T10:35:52,66ce60b3fb392de5096acc24
328,200,co2-concentration,2025-06-17T10:38:54,66ce60b3fb392de5096acc24
329,29,temp,2025-06-17T10:38:54,66ce60b3fb392de5096acc24
330,51,humidity,2025-06-17T10:38:54,66ce60b3fb392de5096acc24
331,200,co2-concentration,2025-06-17T10:41:57,66ce60b3fb392de5096acc24
332,29,temp,2025-06-17T10:41:57,66ce60b3fb392de5096acc24
333,51,humidity,2025-06-17T10:41:57,66ce60b3fb392de5096acc24
334,200,co2-concentration,2025-06-17T10:45:02,66ce60b3fb392de5096acc24
335,29,temp,2025-06-17T10:45:02,66ce60b3fb392de5096acc24
336,51,humidity,2025-06-17T10:45:02,66ce60b3fb392de5096acc24
337,200,co2-concentration,2025-06-17T10:48:05,66ce60b3fb392de5096acc24
338,29,temp,2025-06-17T10:48:05,66ce60b3fb392de5096acc24
339,51,humidity,2025-06-17T10:48:05,66ce60b3fb392de5096acc24
340,200,co2-concentration,2025-06-17T10:51:07,66ce60b3fb392de5096acc24
341,29,temp,2025-06-17T10:51:07,66ce60b3fb392de5096acc24
342,51,humidity,2025-06-17T10:51:07,66ce60b3fb392de5096acc24
343,200,co2-concentration,2025-06-17T10:54:10,66ce60b3fb392de5096acc24
344,29,temp,2025-06-17T10:54:10,66ce60b3fb392de5096acc24
345,51,humidity,2025-06-17T10:54:10,66ce60b3fb392de5096acc24
346,200,co2-concentration,2025-06-17T10:57:13,66ce60b3fb392de5096acc24
347,29,temp,2025-06-17T10:57:13,66ce60b3fb392de5096acc24
348,51,humidity,2025-06-17T10:57:13,66ce60b3fb392de5096acc24
349,200,co2-concentration,2025-06-17T11:00:15,66ce60b3fb392de5096acc24
350,29,temp,2025-06-17T11:00:15,66ce60b3fb392de5096acc24
351,51,humidity,2025-06-17T11:00:15,66ce60b3fb392de5096acc24
352,200,co2-concentration,2025-06-17T11:03:18,66ce60b3fb392de5096acc24
353,29,temp,2025-06-17T11:03:18,66ce60b3fb392de5096acc24
354,51,humidity,2025-06-17T11:03:18,66ce60b3fb392de5096acc24
355,200,co2-concentration,2025-06-17T11:06:21,66ce60b3fb392de5096acc24
356,29,temp,2025-06-17T11:06:21,66ce60b3fb392de5096acc24
357,51,humidity,2025-06-17T11:06:21,66ce60b3fb392de5096acc24
358,200,co2-concentration,2025-06-17T11:09:23,66ce60b3fb392de5096acc24
359,29,temp,2025-06-17T11:09:23,66ce60b3fb392de5096acc24
360,51,humidity,2025-06-17T11:09:23,66ce60b3fb392de5096acc24
361,200,co2-concentration,2025-06-17T11:12:26,66ce60b3fb392de5096acc24
