S.No,data,type,sensedAt,id_sensor
220,3234.91,co2-concentration,2025-06-17T08:39:45,66ce6057fb392de5096aca27
221,30,temp,2025-06-17T08:39:45,66ce6057fb392de5096aca27
222,54,humidity,2025-06-17T08:39:45,66ce6057fb392de5096aca27
223,3336.96,co2-concentration,2025-06-17T08:42:48,66ce6057fb392de5096aca27
224,30,temp,2025-06-17T08:42:48,66ce6057fb392de5096aca27
225,54,humidity,2025-06-17T08:42:48,66ce6057fb392de5096aca27
226,2574.69,co2-concentration,2025-06-17T08:45:50,66ce6057fb392de5096aca27
227,30,temp,2025-06-17T08:45:50,66ce6057fb392de5096aca27
228,54,humidity,2025-06-17T08:45:50,66ce6057fb392de5096aca27
229,2402.92,co2-concentration,2025-06-17T08:48:53,66ce6057fb392de5096aca27
230,30,temp,2025-06-17T08:48:53,66ce6057fb392de5096aca27
231,54,humidity,2025-06-17T08:48:53,66ce6057fb392de5096aca27
232,3234.91,co2-concentration,2025-06-17T08:51:55,66ce6057fb392de5096aca27
233,30,temp,2025-06-17T08:51:55,66ce6057fb392de5096aca27
234,54,humidity,2025-06-17T08:51:55,66ce6057fb392de5096aca27
235,3234.91,co2-concentration,2025-06-17T08:54:57,66ce6057fb392de5096aca27
236,30,temp,2025-06-17T08:54:57,66ce6057fb392de5096aca27
237,54,humidity,2025-06-17T08:54:57,66ce6057fb392de5096aca27
238,3234.91,co2-concentration,2025-06-17T08:57:59,66ce6057fb392de5096aca27
239,30,temp,2025-06-17T08:57:59,66ce6057fb392de5096aca27
240,54,humidity,2025-06-17T08:57:59,66ce6057fb392de5096aca27
241,3336.96,co2-concentration,2025-06-17T09:01:02,66ce6057fb392de5096aca27
242,30,temp,2025-06-17T09:01:02,66ce6057fb392de5096aca27
243,54,humidity,2025-06-17T09:01:02,66ce6057fb392de5096aca27
244,3440.99,co2-concentration,2025-06-17T09:04:04,66ce6057fb392de5096aca27
245,30,temp,2025-06-17T09:04:04,66ce6057fb392de5096aca27
246,54,humidity,2025-06-17T09:04:04,66ce6057fb392de5096aca27
247,3336.96,co2-concentration,2025-06-17T09:07:07,66ce6057fb392de5096aca27
248,30,temp,2025-06-17T09:07:07,66ce6057fb392de5096aca27
249,54,humidity,2025-06-17T09:07:07,66ce6057fb392de5096aca27
250,3134.83,co2-concentration,2025-06-17T09:10:09,66ce6057fb392de5096aca27
251,30,temp,2025-06-17T09:10:09,66ce6057fb392de5096aca27
252,54,humidity,2025-06-17T09:10:09,66ce6057fb392de5096aca27
253,3234.91,co2-concentration,2025-06-17T09:13:11,66ce6057fb392de5096aca27
254,30,temp,2025-06-17T09:13:11,66ce6057fb392de5096aca27
255,54,humidity,2025-06-17T09:13:11,66ce6057fb392de5096aca27
256,3134.83,co2-concentration,2025-06-17T09:16:14,66ce6057fb392de5096aca27
257,30,temp,2025-06-17T09:16:14,66ce6057fb392de5096aca27
258,54,humidity,2025-06-17T09:16:14,66ce6057fb392de5096aca27
259,3134.83,co2-concentration,2025-06-17T09:19:17,66ce6057fb392de5096aca27
260,30,temp,2025-06-17T09:19:17,66ce6057fb392de5096aca27
261,54,humidity,2025-06-17T09:19:17,66ce6057fb392de5096aca27
262,3134.83,co2-concentration,2025-06-17T09:22:19,66ce6057fb392de5096aca27
263,30,temp,2025-06-17T09:22:19,66ce6057fb392de5096aca27
264,54,humidity,2025-06-17T09:22:19,66ce6057fb392de5096aca27
265,2663.33,co2-concentration,2025-06-17T09:25:21,66ce6057fb392de5096aca27
266,30,temp,2025-06-17T09:25:21,66ce6057fb392de5096aca27
267,54,humidity,2025-06-17T09:25:21,66ce6057fb392de5096aca27
268,3234.91,co2-concentration,2025-06-17T09:28:24,66ce6057fb392de5096aca27
269,30,temp,2025-06-17T09:28:24,66ce6057fb392de5096aca27
270,54,humidity,2025-06-17T09:28:24,66ce6057fb392de5096aca27
271,3234.91,co2-concentration,2025-06-17T09:31:29,66ce6057fb392de5096aca27
272,29,temp,2025-06-17T09:31:29,66ce6057fb392de5096aca27
273,55,humidity,2025-06-17T09:31:29,66ce6057fb392de5096aca27
274,3134.83,co2-concentration,2025-06-17T09:34:32,66ce6057fb392de5096aca27
275,29,temp,2025-06-17T09:34:32,66ce6057fb392de5096aca27
276,55,humidity,2025-06-17T09:34:32,66ce6057fb392de5096aca27
277,3336.96,co2-concentration,2025-06-17T09:37:34,66ce6057fb392de5096aca27
278,30,temp,2025-06-17T09:37:34,66ce6057fb392de5096aca27
279,54,humidity,2025-06-17T09:37:34,66ce6057fb392de5096aca27
280,2574.69,co2-concentration,2025-06-17T09:40:36,66ce6057fb392de5096aca27
281,30,temp,2025-06-17T09:40:36,66ce6057fb392de5096aca27
282,54,humidity,2025-06-17T09:40:36,66ce6057fb392de5096aca27
283,2940.5,co2-concentration,2025-06-17T09:43:39,66ce6057fb392de5096aca27
284,29,temp,2025-06-17T09:43:39,66ce6057fb392de5096aca27
285,55,humidity,2025-06-17T09:43:39,66ce6057fb392de5096aca27
286,2574.69,co2-concentration,2025-06-17T09:46:41,66ce6057fb392de5096aca27
287,29,temp,2025-06-17T09:46:41,66ce6057fb392de5096aca27
288,56,humidity,2025-06-17T09:46:41,66ce6057fb392de5096aca27
289,3336.96,co2-concentration,2025-06-17T09:52:51,66ce6057fb392de5096aca27
290,30,temp,2025-06-17T09:52:51,66ce6057fb392de5096aca27
291,54,humidity,2025-06-17T09:52:51,66ce6057fb392de5096aca27
292,3234.91,co2-concentration,2025-06-17T09:55:53,66ce6057fb392de5096aca27
293,30,temp,2025-06-17T09:55:53,66ce6057fb392de5096aca27
294,54,humidity,2025-06-17T09:55:53,66ce6057fb392de5096aca27
295,3234.91,co2-concentration,2025-06-17T09:58:55,66ce6057fb392de5096aca27
296,30,temp,2025-06-17T09:58:55,66ce6057fb392de5096aca27
297,54,humidity,2025-06-17T09:58:55,66ce6057fb392de5096aca27
298,3234.91,co2-concentration,2025-06-17T10:01:58,66ce6057fb392de5096aca27
299,30,temp,2025-06-17T10:01:58,66ce6057fb392de5096aca27
300,54,humidity,2025-06-17T10:01:58,66ce6057fb392de5096aca27
301,3134.83,co2-concentration,2025-06-17T10:05:00,66ce6057fb392de5096aca27
302,30,temp,2025-06-17T10:05:00,66ce6057fb392de5096aca27
303,54,humidity,2025-06-17T10:05:00,66ce6057fb392de5096aca27
304,3234.91,co2-concentration,2025-06-17T10:08:02,66ce6057fb392de5096aca27
305,30,temp,2025-06-17T10:08:02,66ce6057fb392de5096aca27
306,54,humidity,2025-06-17T10:08:02,66ce6057fb392de5096aca27
307,3234.91,co2-concentration,2025-06-17T10:11:05,66ce6057fb392de5096aca27
308,30,temp,2025-06-17T10:11:05,66ce6057fb392de5096aca27
309,54,humidity,2025-06-17T10:11:05,66ce6057fb392de5096aca27
310,3036.7,co2-concentration,2025-06-17T10:14:07,66ce6057fb392de5096aca27
311,30,temp,2025-06-17T10:14:07,66ce6057fb392de5096aca27
312,54,humidity,2025-06-17T10:14:07,66ce6057fb392de5096aca27
313,3234.91,co2-concentration,2025-06-17T10:17:10,66ce6057fb392de5096aca27
314,29,temp,2025-06-17T10:17:10,66ce6057fb392de5096aca27
315,56,humidity,2025-06-17T10:17:10,66ce6057fb392de5096aca27
316,3036.7,co2-concentration,2025-06-17T10:20:12,66ce6057fb392de5096aca27
317,30,temp,2025-06-17T10:20:12,66ce6057fb392de5096aca27
318,55,humidity,2025-06-17T10:20:12,66ce6057fb392de5096aca27
319,3134.83,co2-concentration,2025-06-17T10:23:14,66ce6057fb392de5096aca27
320,29,temp,2025-06-17T10:23:14,66ce6057fb392de5096aca27
321,56,humidity,2025-06-17T10:23:14,66ce6057fb392de5096aca27
322,3234.91,co2-concentration,2025-06-17T10:26:17,66ce6057fb392de5096aca27
323,29,temp,2025-06-17T10:26:17,66ce6057fb392de5096aca27
324,56,humidity,2025-06-17T10:26:17,66ce6057fb392de5096aca27
325,3234.91,co2-concentration,2025-06-17T10:29:19,66ce6057fb392de5096aca27
326,29,temp,2025-06-17T10:29:19,66ce6057fb392de5096aca27
327,56,humidity,2025-06-17T10:29:19,66ce6057fb392de5096aca27
